id,name,receptor,receptor_highlight,receptor_desc,adhesion,other,other_desc,transporter,secreted_highlight,secreted_desc
3840,Q5T700,True,False,,False,False,,False,False,
3841,Q5SZI1,True,False,,False,False,,False,False,
3842,O75019,True,False,,False,False,,False,False,
3843,P59901,True,False,,False,False,,False,False,
3844,Q6PI73,True,False,,False,False,,False,False,
3845,Q8N423,True,True,Inhibitory LILRs_add,False,False,,False,False,
3846,O75023,True,True,Inhibitory LILRs_add,False,False,,False,False,
3847,Q7L985,False,False,,False,False,,False,False,
3848,P0C6S8,False,False,,False,False,,False,False,
3849,Q6UY18,False,False,,False,False,,False,False,
3850,Q8WVP7,True,False,,False,False,,False,False,
3853,Q96JA1,False,False,,False,False,,False,False,
3854,Q9P2V4,False,False,,False,False,,False,False,
3855,A6NDA9,False,False,,False,False,,False,False,
3856,Q3SXY7,False,False,,False,False,,False,False,
3857,Q7Z4F1,True,False,,False,False,,False,False,
3858,Q86VZ4,True,False,,False,False,,False,False,
3859,Q9Y561,True,False,,False,False,,False,False,
3860,Q9NZR2,True,False,,False,False,,False,False,
3861,P98164,True,False,,False,False,,False,False,
3862,O75074,True,False,,False,False,,False,False,
3864,O75197,True,False,,False,False,,False,False,
3865,Q50LG9,False,False,,False,False,,False,False,
3866,Q6UXK5,False,False,,False,False,,False,False,
3867,O75325,False,False,,False,True,Possible_receptor,False,False,
3868,Q9H3W5,False,False,,False,False,,False,False,
3870,P36941,True,True,TNF_receptor_add,False,False,,False,False,
3871,P29376,True,False,,False,False,,False,False,
3872,O60449,True,False,,False,False,,False,False,
3873,Q9Y5Y7,True,False,,False,False,,False,False,
3874,P20645,True,False,,False,False,,False,False,
3875,Q13477,False,False,,True,False,,False,False,
3876,Q9UEW3,True,False,,False,False,,False,False,
3877,P43121,False,False,,True,False,,False,False,
3878,Q12866,True,False,,False,False,,False,False,
3879,Q15546,True,False,,False,False,,False,False,
3880,Q8IY49,True,False,,False,False,,False,False,
